Afghanistan	Delays Expected
Albania	Delays Expected
Algeria	Delays Expected
Andorra	Delays Expected
Angola	Delays Expected
Anguilla	Delays Expected
Antigua and Barbuda	Delays Expected
Argentina	Delays Expected
Armenia	Delays Expected
Aruba	Delays Expected
Australia	Delays Expected
Austria	Delays Expected
Azerbaijan	Delays Expected
Bahamas	Delays Expected
Bahrain	Delays Expected
Bangladesh	Delays Expected
Barbados	Delays Expected
Belarus	Delays Expected
Belgium	Delays Expected
Belize	Delays Expected
Benin	Delays Expected
Bermuda	Temporarily Suspended
Bhutan	Temporarily Suspended
Bolivia	Temporarily Suspended
Bosnia and Herzegovina	Delays Expected
Botswana	Temporarily Suspended
Brazil	Delays Expected
Brunei	Temporarily Suspended
Bulgaria	Delays Expected
Burkina Faso	Delays Expected
Burundi	Delays Expected
Cambodia	Delays Expected
Cameroon	Delays Expected
Canada	Delays Expected
Cape Verde	Delays Expected
Cayman Islands	Temporarily Suspended
Central African Republic	Delays Expected
Chad	Delays Expected
Chile	Delays Expected
China	Delays Expected
Colombia	Delays Expected
Comoros	Delays Expected
Congo, Republic	Delays Expected
Congo, Democratic Rep	Delays Expected
Cook Islands	Delays Expected
Costa Rica	Delays Expected
Cote d'Ivoire	Delays Expected
Croatia	Delays Expected
Cuba	Delays Expected
Curacao	Delays Expected
Cyprus	Delays Expected
Czech Republic	Delays Expected
Denmark	Delays Expected
Djibouti	Delays Expected
Dominica	Temporarily Suspended
Dominican Republic	Temporarily Suspended
East Timor (Timor-Leste)	Delays Expected
Ecuador	Delays Expected
Egypt	Delays Expected
El Salvador	Delays Expected
Equatorial Guinea	Delays Expected
Eritrea	Delays Expected
Estonia	Delays Expected
Ethiopia	Delays Expected
Faroe Island	Delays Expected
Fiji	Delays Expected
Finland	Delays Expected
France	Delays Expected
French Guiana	Delays Expected
French Polynesia	Delays Expected
Gabon	Delays Expected
Gambia	Delays Expected
Georgia	Delays Expected
Germany	Delays Expected
Ghana	Delays Expected
Greece	Delays Expected
Grenada	Delays Expected
